met,split,value,src,trg,model
mse,0,0.006295406372239748,CCLE,CCLE,deepcdr
mse,1,0.005950095829831932,CCLE,CCLE,deepcdr
mse,2,0.005129463792016806,CCLE,CCLE,deepcdr
mse,3,0.005555887069327731,CCLE,CCLE,deepcdr
mse,4,0.006375477521008404,CCLE,CCLE,deepcdr
mse,5,0.0058960448214285715,CCLE,CCLE,deepcdr
mse,6,0.006030839642857144,CCLE,CCLE,deepcdr
mse,7,0.006326339254201679,CCLE,CCLE,deepcdr
mse,8,0.00715128362394958,CCLE,CCLE,deepcdr
mse,9,0.005915123098739496,CCLE,CCLE,deepcdr
rmse,0,0.07934359692022884,CCLE,CCLE,deepcdr
rmse,1,0.07713686427274531,CCLE,CCLE,deepcdr
rmse,2,0.07162027500657063,CCLE,CCLE,deepcdr
rmse,3,0.07453782307880832,CCLE,CCLE,deepcdr
rmse,4,0.07984658740991003,CCLE,CCLE,deepcdr
rmse,5,0.0767857071428568,CCLE,CCLE,deepcdr
rmse,6,0.07765848081733986,CCLE,CCLE,deepcdr
rmse,7,0.07953828797630534,CCLE,CCLE,deepcdr
rmse,8,0.08456526251333688,CCLE,CCLE,deepcdr
rmse,9,0.07690983746400389,CCLE,CCLE,deepcdr
pcc,0,0.8831692546964327,CCLE,CCLE,deepcdr
pcc,1,0.8798451565418264,CCLE,CCLE,deepcdr
pcc,2,0.9008484077931086,CCLE,CCLE,deepcdr
pcc,3,0.8960501717312269,CCLE,CCLE,deepcdr
pcc,4,0.866556702324009,CCLE,CCLE,deepcdr
pcc,5,0.8755040668537479,CCLE,CCLE,deepcdr
pcc,6,0.8750867908837191,CCLE,CCLE,deepcdr
pcc,7,0.8683817497478913,CCLE,CCLE,deepcdr
pcc,8,0.8656289319985322,CCLE,CCLE,deepcdr
pcc,9,0.8772475912358939,CCLE,CCLE,deepcdr
scc,0,0.7800056773354471,CCLE,CCLE,deepcdr
scc,1,0.7542816825514275,CCLE,CCLE,deepcdr
scc,2,0.8086184798013587,CCLE,CCLE,deepcdr
scc,3,0.7865105327201624,CCLE,CCLE,deepcdr
scc,4,0.7646362007177602,CCLE,CCLE,deepcdr
scc,5,0.7639322527395017,CCLE,CCLE,deepcdr
scc,6,0.7967263603203331,CCLE,CCLE,deepcdr
scc,7,0.7703912418619989,CCLE,CCLE,deepcdr
scc,8,0.7831392183828665,CCLE,CCLE,deepcdr
scc,9,0.7500728860206557,CCLE,CCLE,deepcdr
r2,0,0.7687786929006734,CCLE,CCLE,deepcdr
r2,1,0.7616308937078659,CCLE,CCLE,deepcdr
r2,2,0.8091150248464919,CCLE,CCLE,deepcdr
r2,3,0.8019494272967329,CCLE,CCLE,deepcdr
r2,4,0.7460976872843286,CCLE,CCLE,deepcdr
r2,5,0.7636723616112453,CCLE,CCLE,deepcdr
r2,6,0.7622189882953159,CCLE,CCLE,deepcdr
r2,7,0.7512072841887711,CCLE,CCLE,deepcdr
r2,8,0.7423895626955692,CCLE,CCLE,deepcdr
r2,9,0.7519535468520699,CCLE,CCLE,deepcdr
mse,0,0.03198291930441456,CCLE,CTRPv2,deepcdr
mse,1,0.033750978628538535,CCLE,CTRPv2,deepcdr
mse,2,0.03215803718675109,CCLE,CTRPv2,deepcdr
mse,3,0.030092762167512607,CCLE,CTRPv2,deepcdr
mse,4,0.028852383785987142,CCLE,CTRPv2,deepcdr
mse,5,0.03598580803495369,CCLE,CTRPv2,deepcdr
mse,6,0.03732861906266897,CCLE,CTRPv2,deepcdr
mse,7,0.039256825945615956,CCLE,CTRPv2,deepcdr
mse,8,0.03796693282071407,CCLE,CTRPv2,deepcdr
mse,9,0.030885485031029263,CCLE,CTRPv2,deepcdr
rmse,0,0.1788376898319103,CCLE,CTRPv2,deepcdr
rmse,1,0.18371439417894977,CCLE,CTRPv2,deepcdr
rmse,2,0.17932662152271506,CCLE,CTRPv2,deepcdr
rmse,3,0.17347265538842888,CCLE,CTRPv2,deepcdr
rmse,4,0.1698598945778171,CCLE,CTRPv2,deepcdr
rmse,5,0.1896992568118117,CCLE,CTRPv2,deepcdr
rmse,6,0.19320615689638093,CCLE,CTRPv2,deepcdr
rmse,7,0.19813335394530612,CCLE,CTRPv2,deepcdr
rmse,8,0.19485105291148433,CCLE,CTRPv2,deepcdr
rmse,9,0.17574266707612374,CCLE,CTRPv2,deepcdr
pcc,0,0.1995175651869748,CCLE,CTRPv2,deepcdr
pcc,1,0.21336080733091628,CCLE,CTRPv2,deepcdr
pcc,2,0.205279682404656,CCLE,CTRPv2,deepcdr
pcc,3,0.2239382902927069,CCLE,CTRPv2,deepcdr
pcc,4,0.21268604971898258,CCLE,CTRPv2,deepcdr
pcc,5,0.13671330912274626,CCLE,CTRPv2,deepcdr
pcc,6,0.18019948855231907,CCLE,CTRPv2,deepcdr
pcc,7,0.1862191866043022,CCLE,CTRPv2,deepcdr
pcc,8,0.18625655373795738,CCLE,CTRPv2,deepcdr
pcc,9,0.15028493094579107,CCLE,CTRPv2,deepcdr
scc,0,0.11654954872320693,CCLE,CTRPv2,deepcdr
scc,1,0.11884610630627478,CCLE,CTRPv2,deepcdr
scc,2,0.11609667101215161,CCLE,CTRPv2,deepcdr
scc,3,0.1374916192963509,CCLE,CTRPv2,deepcdr
scc,4,0.13143977334083512,CCLE,CTRPv2,deepcdr
scc,5,0.04902896424447428,CCLE,CTRPv2,deepcdr
scc,6,0.10700363778936516,CCLE,CTRPv2,deepcdr
scc,7,0.0989324018130761,CCLE,CTRPv2,deepcdr
scc,8,0.06503549370007712,CCLE,CTRPv2,deepcdr
scc,9,0.06408451095041258,CCLE,CTRPv2,deepcdr
r2,0,-0.5318223827074267,CCLE,CTRPv2,deepcdr
r2,1,-0.6165036096107452,CCLE,CTRPv2,deepcdr
r2,2,-0.5402096562149574,CCLE,CTRPv2,deepcdr
r2,3,-0.4412932792950013,CCLE,CTRPv2,deepcdr
r2,4,-0.3818853387701706,CCLE,CTRPv2,deepcdr
r2,5,-0.7235407963570772,CCLE,CTRPv2,deepcdr
r2,6,-0.7878547499528239,CCLE,CTRPv2,deepcdr
